Price,Close,High,Low,Open,Volume
Ticker,VET-USD,VET-USD,VET-USD,VET-USD,VET-USD
Date,,,,,
2022-01-01,0.08671800047159195,0.08671800047159195,0.08271300047636032,0.08278100192546844,193046062
2022-01-02,0.08710899949073792,0.08862099796533585,0.08481600135564804,0.08668199926614761,210852538
2022-01-03,0.08584000170230865,0.0886169970035553,0.0845479965209961,0.08710800111293793,276142981
2022-01-04,0.08600600063800812,0.08951299637556076,0.08388199657201767,0.08588600158691406,338323984
2022-01-05,0.08498699963092804,0.09582299739122391,0.07978799939155579,0.08599700033664703,717771262
2022-01-06,0.08258499950170517,0.0849820002913475,0.08096099644899368,0.0849820002913475,419592657
2022-01-07,0.07850000262260437,0.08283299952745438,0.07666099816560745,0.08258400112390518,388455066
2022-01-08,0.07570099830627441,0.08061599731445312,0.07241900265216827,0.07851199805736542,305172289
2022-01-09,0.07668499648571014,0.07881800085306168,0.07469400018453598,0.07570499926805496,238772020
2022-01-10,0.07315199822187424,0.07754100114107132,0.06924299895763397,0.0766730010509491,311123652
2022-01-11,0.07672499865293503,0.07683300226926804,0.07227999716997147,0.07314500212669373,250505037
2022-01-12,0.08238600194454193,0.08245400339365005,0.07671400159597397,0.07673300057649612,286969174
2022-01-13,0.07760100066661835,0.08298200368881226,0.07693299651145935,0.08238399773836136,310680193
2022-01-14,0.07899200171232224,0.0796860009431839,0.07561500370502472,0.0776199996471405,246312894
2022-01-15,0.0786070004105568,0.08008699864149094,0.0776280015707016,0.07900399714708328,168635597
2022-01-16,0.07836999744176865,0.07971599698066711,0.07735799998044968,0.0786060020327568,166582357
2022-01-17,0.0752900019288063,0.07851699739694595,0.07385700196027756,0.07836899906396866,212637103
2022-01-18,0.07423499971628189,0.07599399983882904,0.07221899926662445,0.07530300319194794,217253679
2022-01-19,0.07088600099086761,0.0746539980173111,0.07040300220251083,0.0742340013384819,192157481
2022-01-20,0.06738200038671494,0.07468800246715546,0.06737799942493439,0.07087700068950653,158533835
2022-01-21,0.05719799920916557,0.0687979981303215,0.056042999029159546,0.06741400063037872,418894427
